,LPSN
% Above Low,0.38939999999999997
% Held by Institutions,0.8465
52-Wk Range,['7.96 - 41.05']
Annual Dividend $,
Annual Dividend %,
Ask,10.87
Ask Size,800.0
Ask close,13.53
B/A Ratio,0.125
B/A Size,100x800
Beta,1.4
Bid,10.79
Bid Size,100.0
Bid close,8.6
Change Since Close,-0.26| |(-2.35%)
Closing Price,11.06
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.08
Ex-dividend Date,No dividend
Historical Volatility,0.923
Last (size),67.0
Last (time),1:00p ET 11/25/22
Last Trade,10.8
Market Cap,833.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,11.06
Shares Outstanding,75.3M
Short Interest,0.08439999999999999
Today's Open,
Volume,97.0
Volume 10-day Avg,1029042.0
Volume Past Day,(Light)
