,LPSN
Price/Earnings (TTM),
Price/Sales (TTM),1.6142
Price/Book (MRQ),9.29027
Price/Cash Flow (TTM),
5yr Low,7.96
5yr High,72.23
5yr Avg Return,0.19815000000000005
EPS Growth 5yr,
Revenue Growth 5yr,0.16084759999999998
Dividend Growth 5yr,
Short Int Current Month,5895372.0
Short Int Prev Month,6626957.0
Short Int Pct of Float,0.0844331
Days to Cover,4.4338
Float,70.09487
Shares Outstanding,75.32807
Institutions Holding Shares,247.0
% Held by Institutions,0.84652
FCF Growth 5yr,0.5211405106701236
