,CAR
Price/Earnings (TTM),4.17684
Price/Sales (TTM),0.78755
Price/Book (MRQ),
Price/Cash Flow (TTM),2.07388
5yr Low,6.35
5yr High,545.11
5yr Avg Return,0.8190833333333333
EPS Growth 5yr,0.6191208
Revenue Growth 5yr,0.014669000000000001
Dividend Growth 5yr,
Short Int Current Month,5652261.0
Short Int Prev Month,4927972.0
Short Int Pct of Float,0.1390591
Days to Cover,6.99375
Float,40.70181
Shares Outstanding,41.46641
Institutions Holding Shares,386.0
% Held by Institutions,1.012693
FCF Growth 5yr,0.25309238448610283
