,CAR
% Above Low,0.6989
% Held by Institutions,1.0127
52-Wk Range,['131.83 - 327.80']
Annual Dividend $,
Annual Dividend %,
Ask,224.98
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,2.3
Bid,224.0
Bid Size,200.0
Closing Price,223.96
Day Change $,1.17
Day Change %,0.0053
Day High,224.64
Day Low,219.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",53.62
Ex-dividend Date,No dividend
Historical Volatility,0.7490000000000001
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,9.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.18
Prev Close,222.79
Shares Outstanding,41.5M
Short Interest,0.1391
Today's Open,220.31
Volume,204981.0
Volume 10-day Avg,506427.0
Volume Past Day,(Light)
