,MTCH
% Above Low,0.17500000000000002
% Held by Institutions,0.9555
52-Wk Range,['40.23 - 141.40']
Annual Dividend $,
Annual Dividend %,
Ask,52.3
Ask Size,100.0
Ask close,50.16
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,43.0
Bid Size,100.0
Bid close,44.37
Change Since Close,-0.26| |(-0.55%)
Closing Price,47.27
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.36
Ex-dividend Date,No dividend
Historical Volatility,0.5529999999999999
Last (size),50.0
Last (time),1:00p ET 11/25/22
Last Trade,47.01
Market Cap,13.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",132.71
Prev Close,47.27
Shares Outstanding,279.3M
Short Interest,0.0426
Today's Open,
Volume,311.0
Volume 10-day Avg,3335245.0
Volume Past Day,(Light)
