,MTCH
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.2514619883040935
Growth 1yr High Est,-0.20634920634920628
Growth 1yr Consensus Est,-0.2289055973266499
Growth 2yr Low Est,-0.1608872441520468
Growth 2yr High Est,0.27682539682539686
Growth 2yr Consensus Est,0.05796907633667503
Growth 5yr Low Est,-0.0804436220760234
Growth 5yr High Est,0.13841269841269843
Growth 5yr Consensus Est,0.028984538168337515
Growth 5yr Actual/Est,0.669374244852526
Growth 3yr Historic,0.6238020069906415
