,ACAD
Price/Earnings (TTM),
Price/Sales (TTM),4.78351
Price/Book (MRQ),5.74574
Price/Cash Flow (TTM),
5yr Low,12.24
5yr High,58.72
5yr Avg Return,0.10571666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.9463921999999999
Dividend Growth 5yr,
Short Int Current Month,9040684.0
Short Int Prev Month,10439023.0
Short Int Pct of Float,0.0559121
Days to Cover,5.31669
Float,161.6999
Shares Outstanding,161.931
Institutions Holding Shares,295.0
% Held by Institutions,0.916249
FCF Growth 5yr,-0.07262357938885074
