,ACAD
% Above Low,0.2345
% Held by Institutions,0.9162
52-Wk Range,['12.24 - 28.06']
Annual Dividend $,
Annual Dividend %,
Ask,15.5
Ask Size,300.0
B/A Ratio,4.0
B/A Size,1200x300
Beta,0.6
Bid,14.9
Bid Size,1200.0
Closing Price,15.11
Day Change $,0.11
Day Change %,0.0073
Day High,15.54
Day Low,14.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.34
Ex-dividend Date,No dividend
Historical Volatility,0.77
Last (size),59.0
Last (time),12:59p ET 11/25/22
Market Cap,2.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,15.0
Shares Outstanding,161.9M
Short Interest,0.0559
Today's Open,15.04
Volume,316898.0
Volume 10-day Avg,930004.0
Volume Past Day,(Light)
