,CHRS
Price/Earnings (TTM),
Price/Sales (TTM),2.14079
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,5.6
5yr High,23.91
5yr Avg Return,0.05345000000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.1142715
Dividend Growth 5yr,
Short Int Current Month,9978800.0
Short Int Prev Month,9319257.0
Short Int Pct of Float,0.1393545
Days to Cover,7.3203
Float,71.60728
Shares Outstanding,77.77794
Institutions Holding Shares,247.0
% Held by Institutions,1.013161
FCF Growth 5yr,0.5662619773307579
