,CHRS
% Above Low,0.17500000000000002
% Held by Institutions,1.0131999999999999
52-Wk Range,['5.60 - 18.94']
Annual Dividend $,
Annual Dividend %,
Ask,6.72
Ask Size,100.0
B/A Ratio,7.0
B/A Size,700x100
Beta,1.0
Bid,6.5
Bid Size,700.0
Closing Price,6.58
Day Change $,0.03
Day Change %,0.0046
Day High,6.6
Day Low,6.47
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.6
Ex-dividend Date,No dividend
Historical Volatility,0.659
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,511.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.55
Shares Outstanding,77.8M
Short Interest,0.1394
Today's Open,6.53
Volume,239423.0
Volume 10-day Avg,1082803.0
Volume Past Day,(Light)
