,ZNTL
% Above Low,0.1916
% Held by Institutions,1.0312999999999999
52-Wk Range,['17.33 - 85.95']
Annual Dividend $,
Annual Dividend %,
Ask,21.95
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,19.8
Bid Size,100.0
Closing Price,20.65
Day Change $,-0.98
Day Change %,-0.0453
Day High,21.81
Day Low,20.49
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.85
Ex-dividend Date,No dividend
Historical Volatility,0.904
Last (size),1.0
Last (time),4:00p ET 11/28/22
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,21.63
Shares Outstanding,57.1M
Short Interest,0.1096
Today's Open,21.49
Volume,448570.0
Volume 10-day Avg,604772.0
Volume Past Day,(Light)
