,VAC
% Below High,0.1703
% Held by Institutions,0.8375
52-Wk Range,['110.08 - 174.74']
Annual Dividend $,2.48
Annual Dividend %,0.0168
Ask,250.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.1
Bid,110.0
Bid Size,100.0
Closing Price,144.99
Day Change $,-2.51
Day Change %,-0.017
Day High,146.72
Day Low,144.75
Dividend Pay Date,2022-10-06 00:00:00
"EPS (TTM, GAAP)",7.97
Ex-dividend,2022-09-21 00:00:00
Ex-dividend Date,09/21/22
Historical Volatility,0.423
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,5.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.5
Prev Close,147.5
Shares Outstanding,38.3M
Short Interest,0.0535
Today's Open,145.46
Volume,233191.0
Volume 10-day Avg,283881.0
Volume Past Day,(Below Average)
