,VAC
Price/Earnings (TTM),18.49947
Price/Sales (TTM),1.23735
Price/Book (MRQ),2.17417
Price/Cash Flow (TTM),11.44174
5yr Low,30.1
5yr High,190.97
5yr Avg Return,0.08700000000000001
EPS Growth 5yr,-0.23416810000000002
Revenue Growth 5yr,0.14230980000000001
Dividend Growth 5yr,-0.0288133
Short Int Current Month,1897776.0
Short Int Prev Month,1949105.0
Short Int Pct of Float,0.0535069
Days to Cover,4.51989
Float,35.49867
Shares Outstanding,38.32014
Institutions Holding Shares,443.0
% Held by Institutions,0.837531
FCF Growth 5yr,0.2648359898359898
