,VAC
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,1.407766990291262
Growth 1yr High Est,1.473067915690867
Growth 1yr Consensus Est,1.4404174529910645
Growth 2yr Low Est,0.6812020435327277
Growth 2yr High Est,0.8520642608757365
Growth 2yr Consensus Est,0.7666331522042321
Growth 5yr Low Est,0.22081593959190118
Growth 5yr High Est,0.308971109267258
Growth 5yr Consensus Est,0.2648935244295796
Growth 5yr Actual/Est,-2.591761862217936
Growth 3yr Historic,-2.9588490539194767
