,IQV
Price/Earnings (TTM),35.79804
Price/Sales (TTM),2.85588
Price/Book (MRQ),7.64397
Price/Cash Flow (TTM),18.33891
5yr Low,81.79
5yr High,285.61
5yr Avg Return,0.16786666666666666
EPS Growth 5yr,0.5991586999999999
Revenue Growth 5yr,0.1527819
Dividend Growth 5yr,
Short Int Current Month,2261684.0
Short Int Prev Month,1942854.0
Short Int Pct of Float,0.012272799999999999
Days to Cover,2.66409
Float,184.2869
Shares Outstanding,185.74
Institutions Holding Shares,1264.0
% Held by Institutions,0.894961
FCF Growth 5yr,0.3500461585689106
