,EVOP
% Below High,0.004699999999999999
% Held by Institutions,1.0041
52-Wk Range,['20.07 - 33.86']
Annual Dividend $,
Annual Dividend %,
Ask,53.92
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,1.2
Bid,33.7
Bid Size,1000.0
Closing Price,33.7
Day Change $,0.0
Day Change %,0.0
Day High,33.72
Day Low,33.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.01
Ex-dividend Date,No dividend
Historical Volatility,0.37
Last (size),22.0
Last (time),12:59p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",2503.72
Prev Close,33.7
Shares Outstanding,48.3M
Short Interest,0.0875
Today's Open,33.7
Volume,145820.0
Volume 10-day Avg,324576.0
Volume Past Day,(Light)
