,EVOP
Price/Earnings (TTM),2503.715
Price/Sales (TTM),3.269
Price/Book (MRQ),
Price/Cash Flow (TTM),18.10893
5yr Low,10.12
5yr High,33.86
5yr Avg Return,0.1205
EPS Growth 5yr,
Revenue Growth 5yr,0.0344764
Dividend Growth 5yr,
Short Int Current Month,4140198.0
Short Int Prev Month,3612016.0
Short Int Pct of Float,0.08747189999999999
Days to Cover,7.11253
Float,47.39355
Shares Outstanding,52.0371
Institutions Holding Shares,223.0
% Held by Institutions,1.004127
FCF Growth 5yr,0.5335150739212531
