,RCUS
Price/Earnings (TTM),73.96229
Price/Sales (TTM),4.46815
Price/Book (MRQ),2.76589
Price/Cash Flow (TTM),22.59199
5yr Low,6.3
5yr High,49.1
5yr Avg Return,0.25584
Short Int Current Month,7019646.0
Short Int Prev Month,6704901.0
Short Int Pct of Float,0.1382978
Days to Cover,7.96734
Float,51.46448
Shares Outstanding,72.40771
Institutions Holding Shares,259.0
% Held by Institutions,0.738283
FCF Growth 5yr,-1.1839244895524923
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
