,RCUS
% Above Low,0.6854000000000001
% Held by Institutions,0.7383
52-Wk Range,['16.74 - 47.28']
Annual Dividend $,
Annual Dividend %,
Ask,28.25
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,28.17
Bid Size,100.0
Day Change $,1.5
Day Change %,0.056299999999999996
Day High,30.31
Day Low,27.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.36
Ex-dividend Date,No dividend
Historical Volatility,0.748
Last (size),250.0
Last (time),12:25p ET 11/28/22
Market Cap,2.0B
"P/E Ratio (TTM, GAAP)",73.96
Prev Close,26.71
Price,28.21
Shares Outstanding,72.4M
Short Interest,0.1383
Today's Open,29.31
Volume Past Day,(Heavy Day)
