,RCUS
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.6477732793522266
Growth 1yr High Est,0.3743842364532022
Growth 1yr Consensus Est,0.5110787579027144
Growth 2yr Low Est,0.5130758288653025
Growth 2yr High Est,0.2893426558610097
Growth 2yr Consensus Est,0.4012092423631561
Growth 5yr Low Est,0.3420505525768683
Growth 5yr High Est,0.1928951039073398
Growth 5yr Consensus Est,0.26747282824210405
Growth 5yr Actual/Est,-1.8125318639673387
Growth 3yr Historic,-0.2890856310140636
