,LNN
% Below High,0.0265
% Held by Institutions,0.9299
52-Wk Range,['116.77 - 183.08']
Annual Dividend $,1.36
Annual Dividend %,0.0076
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.6
Bid,121.0
Bid Size,
Closing Price,178.22
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",5.96
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.34500000000000003
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,1.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.89
Prev Close,178.22
Shares Outstanding,11.0M
Short Interest,0.012
Today's Open,
Volume,27274.0
Volume 10-day Avg,70626.0
Volume Past Day,(Light)
