,LNN
Price/Earnings (TTM),29.88829
Price/Sales (TTM),2.54513
Price/Book (MRQ),4.97474
Price/Cash Flow (TTM),22.8204
5yr Low,71.86
5yr High,183.08
5yr Avg Return,0.11454999999999999
EPS Growth 5yr,0.2243553
Revenue Growth 5yr,0.0827258
Dividend Growth 5yr,0.025966399999999997
Short Int Current Month,130554.0
Short Int Prev Month,160961.0
Short Int Pct of Float,0.0119568
Days to Cover,2.13233
Float,10.93507
Shares Outstanding,11.00685
Institutions Holding Shares,277.0
% Held by Institutions,0.929939
FCF Growth 5yr,-0.07444786065084374
