,ICHR
% Above Low,0.3392
% Held by Institutions,0.9154000000000001
52-Wk Range,['21.04 - 50.72']
Annual Dividend $,
Annual Dividend %,
Ask,36.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,2.0
Bid,25.0
Bid Size,200.0
Closing Price,28.17
Day Change $,-0.33
Day Change %,-0.0116
Day High,28.51
Day Low,28.17
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.17
Ex-dividend Date,No dividend
Historical Volatility,0.663
Last (size),13.0
Last (time),1:00p ET 11/25/22
Market Cap,811.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.99
Prev Close,28.5
Shares Outstanding,28.8M
Short Interest,0.0371
Today's Open,28.44
Volume,37471.0
Volume 10-day Avg,161804.0
Volume Past Day,(Light)
