,ICHR
Price/Earnings (TTM),12.98755
Price/Sales (TTM),0.69185
Price/Book (MRQ),1.50651
Price/Cash Flow (TTM),8.45791
5yr Low,13.68
5yr High,63.42
5yr Avg Return,0.08794999999999999
EPS Growth 5yr,0.604133
Revenue Growth 5yr,0.22006699999999998
Dividend Growth 5yr,
Short Int Current Month,1046609.0
Short Int Prev Month,1045267.0
Short Int Pct of Float,0.0371162
Days to Cover,4.51128
Float,28.20234
Shares Outstanding,28.80253
Institutions Holding Shares,221.0
% Held by Institutions,0.915385
FCF Growth 5yr,1.398525823550769
