,PYCR
% Below High,0.20629999999999998
% Held by Institutions,1.0062
52-Wk Range,['20.14 - 34.95']
Annual Dividend $,
Annual Dividend %,
Ask,27.78
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,27.7
Bid Size,100.0
Day Change $,-0.36
Day Change %,-0.0128
Day High,28.57
Day Low,27.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.54
Ex-dividend Date,No dividend
Historical Volatility,0.555
Last (size),100.0
Last (time),11:58a ET 11/28/22
Market Cap,4.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,28.1
Price,27.74
Shares Outstanding,175.9M
Short Interest,0.17550000000000002
Today's Open,27.94
Volume Past Day,(Light)
