,PYCR
Price/Earnings (TTM),
Price/Sales (TTM),10.86156
Price/Book (MRQ),3.8745
Price/Cash Flow (TTM),177.7985
5yr Low,20.14
5yr High,39.71
5yr Avg Return,-0.0068499999999999985
Short Int Current Month,9587957.0
Short Int Prev Month,9101939.0
Short Int Pct of Float,0.1755042
Days to Cover,14.17454
Float,174.8647
Shares Outstanding,175.856
Institutions Holding Shares,198.0
% Held by Institutions,1.006203
FCF Growth 5yr,0.20576768719183583
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
