,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 6/2021,Negative Surprise,0.23,,,,,,,0.35,0.23,,
Year ending 6/2022,Positive Surprise,0.21,,-0.08695652173913049,,,,,0.19,0.21,-0.08695652173913049,
Year ending 6/2023,Neutral,,0.3,0.0,0.26,,0.45,,0.3,0.3,0.4285714285714286,
Year ending 6/2024,Neutral,,0.39,0.0,0.32,0.23076923076923084,0.56,0.24444444444444446,0.39,0.39,0.30000000000000004,0.23760683760683765
