,DXC
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.04166666666666663
Growth 1yr High Est,-0.0027100271002709064
Growth 1yr Consensus Est,-0.022188346883468768
Growth 2yr Low Est,0.09510869565217389
Growth 2yr High Est,0.1779928125368211
Growth 2yr Consensus Est,0.1365507540944975
Growth 5yr Low Est,0.04302383951912489
Growth 5yr High Est,0.07284596379053443
Growth 5yr Consensus Est,0.05793490165482966
Growth 5yr Actual/Est,0.04801513633054855
Growth 3yr Historic,-0.03104672773131556
