,DXC
% Above Low,0.3104
% Held by Institutions,0.8962
52-Wk Range,['22.65 - 39.65']
Annual Dividend $,
Annual Dividend %,
Ask,35.0
Ask Size,900.0
B/A Ratio,0.5555555555555556
B/A Size,500x900
Beta,2.0
Bid,25.75
Bid Size,500.0
Closing Price,29.68
Day Change $,0.07
Day Change %,0.0024
Day High,29.9
Day Low,29.61
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.07
Ex-dividend Date,No dividend
Historical Volatility,0.52
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,6.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.68
Prev Close,29.61
Shares Outstanding,230.1M
Short Interest,0.0253
Today's Open,29.74
Volume,514644.0
Volume 10-day Avg,1509655.0
Volume Past Day,(Light)
