,DXC
Price/Earnings (TTM),9.67857
Price/Sales (TTM),0.44426
Price/Book (MRQ),1.47943
Price/Cash Flow (TTM),2.82046
5yr Low,7.9
5yr High,107.85
5yr Avg Return,-0.16079999999999997
EPS Growth 5yr,
Revenue Growth 5yr,0.1641478
Dividend Growth 5yr,
Short Int Current Month,5797582.0
Short Int Prev Month,8275398.0
Short Int Pct of Float,0.0253412
Days to Cover,2.27023
Float,228.7226
Shares Outstanding,230.0652
Institutions Holding Shares,698.0
% Held by Institutions,0.896223
FCF Growth 5yr,-3.129169570215906
