,SCL
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.07843137254901955
Growth 1yr High Est,0.11251980982567344
Growth 1yr Consensus Est,0.0954755911873465
Growth 2yr Low Est,0.04754901960784308
Growth 2yr High Est,0.10113169978463166
Growth 2yr Consensus Est,0.07434035969623737
Growth 5yr Low Est,0.08794288762733016
Growth 5yr High Est,0.12184894561533005
Growth 5yr Consensus Est,0.1048959166213301
Growth 5yr Actual/Est,0.08453266269696103
Growth 3yr Historic,0.04847051056338031
