,SCL
Price/Earnings (TTM),16.65343
Price/Sales (TTM),0.89127
Price/Book (MRQ),2.1759
Price/Cash Flow (TTM),9.97511
5yr Low,68.09
5yr High,139.3
5yr Avg Return,0.06041666666666668
EPS Growth 5yr,0.0965721
Revenue Growth 5yr,0.05842
Dividend Growth 5yr,0.10032669999999999
Short Int Current Month,199483.0
Short Int Prev Month,344631.0
Short Int Pct of Float,0.0094036
Days to Cover,3.26978
Float,21.22843
Shares Outstanding,22.22831
Institutions Holding Shares,282.0
% Held by Institutions,0.785847
FCF Growth 5yr,0.06594066989298146
