,SCL
% Below High,0.1355
% Held by Institutions,0.7857999999999999
52-Wk Range,['91.64 - 126.24']
Annual Dividend $,1.46
Annual Dividend %,0.0132
Ask,109.35
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.8
Bid,108.89
Bid Size,200.0
Day Change $,-1.38
Day Change %,-0.0125
Day High,110.59
Day Low,109.34
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",6.64
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.277
Last (size),16.0
Last (time),1:43p ET 11/28/22
Market Cap,2.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.65
Prev Close,110.51
Price,109.13
Shares Outstanding,22.2M
Short Interest,0.009399999999999999
Today's Open,110.59
Volume Past Day,(Light)
