,BLMN
% Below High,0.1058
% Held by Institutions,1.0285
52-Wk Range,['15.89 - 25.51']
Annual Dividend $,0.56
Annual Dividend %,0.0246
Ask,24.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.8
Bid,22.6
Bid Size,200.0
Closing Price,22.81
Day Change $,0.07
Day Change %,0.0031
Day High,22.98
Day Low,22.48
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",0.94
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.518
Last (size),42.0
Last (time),1:00p ET 11/25/22
Market Cap,2.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.24
Prev Close,22.74
Shares Outstanding,87.8M
Short Interest,0.12240000000000001
Today's Open,22.64
Volume,795740.0
Volume 10-day Avg,1602371.0
Volume Past Day,(Light)
