,BLMN
Price/Earnings (TTM),24.23708
Price/Sales (TTM),0.45841
Price/Book (MRQ),8.45937
Price/Cash Flow (TTM),7.19718
5yr Low,4.54
5yr High,32.81
5yr Avg Return,0.027166666666666662
EPS Growth 5yr,0.4218998
Revenue Growth 5yr,-0.0065773
Dividend Growth 5yr,
Short Int Current Month,10284453.0
Short Int Prev Month,9983503.0
Short Int Pct of Float,0.1223757
Days to Cover,6.62293
Float,83.8522
Shares Outstanding,87.79364
Institutions Holding Shares,336.0
% Held by Institutions,1.0285469999999999
FCF Growth 5yr,-0.06539498977932856
