,ETN
% Below High,0.0479
% Held by Institutions,0.7929999999999999
52-Wk Range,['122.50 - 174.47']
Annual Dividend $,3.24
Annual Dividend %,0.0195
Ask,166.75
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,118.38
Bid Size,100.0
Closing Price,166.11
Day Change $,0.75
Day Change %,0.0045000000000000005
Day High,167.22
Day Low,165.78
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",5.71
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.284
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,66.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.08
Prev Close,165.36
Shares Outstanding,397.7M
Short Interest,0.011000000000000001
Today's Open,166.41
Volume,628913.0
Volume 10-day Avg,1626369.0
Volume Past Day,(Light)
