,JBT
Price/Earnings (TTM),23.60431
Price/Sales (TTM),1.41615
Price/Book (MRQ),3.62642
Price/Cash Flow (TTM),14.31756
5yr Low,56.17
5yr High,177.56
5yr Avg Return,0.019266666666666668
EPS Growth 5yr,0.1008058
Revenue Growth 5yr,0.0670638
Dividend Growth 5yr,0.0
Short Int Current Month,762671.0
Short Int Prev Month,800531.0
Short Int Pct of Float,0.0242725
Days to Cover,2.9656
Float,31.43141
Shares Outstanding,31.8584
Institutions Holding Shares,368.0
% Held by Institutions,1.00756
FCF Growth 5yr,6.4515063789257345
