,JBT
% Above Low,0.12480000000000001
% Held by Institutions,1.0076
52-Wk Range,['81.59 - 166.65']
Annual Dividend $,0.4
Annual Dividend %,0.0044
Ask,147.93
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.4
Bid,36.99
Bid Size,200.0
Closing Price,91.77
Day Change $,0.09
Day Change %,0.001
Day High,93.04
Day Low,91.48
Dividend Pay Date,2022-09-06 00:00:00
"EPS (TTM, GAAP)",3.89
Ex-dividend,2022-08-19 00:00:00
Ex-dividend Date,08/19/22
Historical Volatility,0.467
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,2.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",23.6
Prev Close,91.68
Shares Outstanding,31.9M
Short Interest,0.024300000000000002
Today's Open,91.48
Volume,66197.0
Volume 10-day Avg,208460.0
Volume Past Day,(Light)
