,MRTN
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.36363636363636376
Growth 1yr High Est,0.3700000000000001
Growth 1yr Consensus Est,0.36681818181818193
Growth 2yr Low Est,0.16329966329966333
Growth 2yr High Est,0.19594890510948904
Growth 2yr Consensus Est,0.17962428420457618
Growth 5yr Low Est,0.07155249443792741
Growth 5yr High Est,0.08753718601991697
Growth 5yr Consensus Est,0.07954484022892219
Growth 5yr Actual/Est,0.1658040411286466
Growth 3yr Historic,0.08430894308943088
