,MRTN
Price/Earnings (TTM),16.06625
Price/Sales (TTM),1.43242
Price/Book (MRQ),2.53591
Price/Cash Flow (TTM),7.97796
5yr Low,10.26
5yr High,23.43
5yr Avg Return,0.09750000000000002
EPS Growth 5yr,0.2011526
Revenue Growth 5yr,0.077251
Dividend Growth 5yr,0.3195079
Short Int Current Month,1720083.0
Short Int Prev Month,1921531.0
Short Int Pct of Float,0.030061900000000003
Days to Cover,7.00619
Float,57.21803
Shares Outstanding,81.09663
Institutions Holding Shares,276.0
% Held by Institutions,0.6817829999999999
FCF Growth 5yr,-0.5045334093737249
