,MRTN
% Below High,0.0892
% Held by Institutions,0.6818000000000001
52-Wk Range,['15.70 - 23.43']
Annual Dividend $,0.24
Annual Dividend %,0.011200000000000002
Ask,23.37
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,16.37
Bid Size,100.0
Closing Price,21.34
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",1.33
Ex-dividend,2022-09-15 00:00:00
Ex-dividend Date,09/15/22
Historical Volatility,0.371
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,1.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.07
Prev Close,21.34
Shares Outstanding,81.1M
Short Interest,0.0301
Today's Open,
Volume,109721.0
Volume 10-day Avg,266999.0
Volume Past Day,(Light)
