,IVZ
Price/Earnings (TTM),9.71647
Price/Sales (TTM),1.38606
Price/Book (MRQ),0.81038
Price/Cash Flow (TTM),7.72933
5yr Low,6.38
5yr High,38.43
5yr Avg Return,-0.052683333333333346
EPS Growth 5yr,0.0777615
Revenue Growth 5yr,0.0776984
Dividend Growth 5yr,-0.0973908
Short Int Current Month,14708445.0
Short Int Prev Month,14708849.0
Short Int Pct of Float,0.0402025
Days to Cover,2.17652
Float,367.0754
Shares Outstanding,454.8
Institutions Holding Shares,744.0
% Held by Institutions,0.90429
FCF Growth 5yr,-1.0085593767399652
