,SKYW
Price/Earnings (TTM),7.35396
Price/Sales (TTM),0.29486
Price/Book (MRQ),0.3816
Price/Cash Flow (TTM),1.71565
5yr Low,10.58
5yr High,66.52
5yr Avg Return,-0.09576666666666668
EPS Growth 5yr,
Revenue Growth 5yr,-0.0239853
Dividend Growth 5yr,
Short Int Current Month,1988199.0
Short Int Prev Month,2233397.0
Short Int Pct of Float,0.0401658
Days to Cover,3.89122
Float,49.49856
Shares Outstanding,50.59841
Institutions Holding Shares,268.0
% Held by Institutions,0.8071510000000001
FCF Growth 5yr,-0.3317946774330056
