,SKYW
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.25077399380804954
Growth 1yr High Est,-0.2544378698224852
Growth 1yr Consensus Est,-0.25260593181526736
Growth 2yr Low Est,-0.553072947317248
Growth 2yr High Est,-0.40896496665727433
Growth 2yr Consensus Est,-0.48101895698726116
Growth 5yr Low Est,-0.39523566065049387
Growth 5yr High Est,-0.31971374329673924
Growth 5yr Consensus Est,-0.3574747019736166
Growth 5yr Actual/Est,-5.842680446349047
Growth 3yr Historic,-5.595035294117647
