,SKYW
% Above Low,0.1371
% Held by Institutions,0.8072
52-Wk Range,['15.83 - 43.67']
Annual Dividend $,
Annual Dividend %,
Ask,18.01
Ask Size,600.0
B/A Ratio,0.5
B/A Size,300x600
Beta,1.8
Bid,17.99
Bid Size,300.0
Day Change $,-0.07
Day Change %,-0.0039000000000000003
Day High,18.08
Day Low,17.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.46
Ex-dividend Date,No dividend
Historical Volatility,0.546
Last (size),100.0
Last (time),2:30p ET 11/28/22
Market Cap,910.3M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.35
Prev Close,18.07
Price,18.0
Shares Outstanding,50.6M
Short Interest,0.04019999999999999
Today's Open,17.91
Volume Past Day,(Average)
