,GEVO
% Above Low,0.2111
% Held by Institutions,0.49200000000000005
52-Wk Range,['1.80 - 6.30']
Annual Dividend $,
Annual Dividend %,
Ask,2.2
Ask Size,1100.0
B/A Ratio,0.36363636363636365
B/A Size,400x1100
Beta,3.1
Bid,2.18
Bid Size,400.0
Closing Price,2.18
Day Change $,0.08
Day Change %,0.0381
Day High,2.2
Day Low,2.07
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.41
Ex-dividend Date,No dividend
Historical Volatility,1.013
Last (size),225.0
Last (time),1:00p ET 11/25/22
Market Cap,517.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.1
Shares Outstanding,237.2M
Short Interest,0.2043
Today's Open,2.07
Volume,2652234.0
Volume 10-day Avg,7038701.0
Volume Past Day,(Light)
