,GEVO
Price/Earnings (TTM),
Price/Sales (TTM),756.0576
Price/Book (MRQ),0.82751
Price/Cash Flow (TTM),
5yr Low,0.46
5yr High,24.74
5yr Avg Return,-0.07226666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.5175874
Dividend Growth 5yr,
Short Int Current Month,46929760.0
Short Int Prev Month,48163874.0
Short Int Pct of Float,0.2042998
Days to Cover,5.44817
Float,230.1546
Shares Outstanding,237.2217
Institutions Holding Shares,187.0
% Held by Institutions,0.49198099999999995
FCF Growth 5yr,0.18703916669032947
