,FAF
% Above Low,0.2536
% Held by Institutions,0.8367
52-Wk Range,['43.54 - 81.54']
Annual Dividend $,2.08
Annual Dividend %,0.0381
Ask,56.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,43.55
Bid Size,100.0
Closing Price,54.58
Day Change $,0.62
Day Change %,0.0115
Day High,54.74
Day Low,54.0
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",4.24
Ex-dividend,2022-12-07 00:00:00
Ex-dividend Date,12/07/22
Historical Volatility,0.319
Last (size),1200.0
Last (time),5:00p ET 11/25/22
Market Cap,5.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.87
Prev Close,53.96
Shares Outstanding,103.5M
Short Interest,0.0262
Today's Open,54.0
Volume,165125.0
Volume 10-day Avg,487637.0
Volume Past Day,(Light)
