,FAF
Price/Earnings (TTM),12.87049
Price/Sales (TTM),0.68146
Price/Book (MRQ),1.25674
Price/Cash Flow (TTM),8.89698
5yr Low,29.36
5yr High,81.54
5yr Avg Return,0.03878333333333332
EPS Growth 5yr,0.2927272
Revenue Growth 5yr,0.10584289999999999
Dividend Growth 5yr,0.106428
Short Int Current Month,2589453.0
Short Int Prev Month,2872857.0
Short Int Pct of Float,0.0262095
Days to Cover,3.93386
Float,99.92908
Shares Outstanding,103.5417
Institutions Holding Shares,481.0
% Held by Institutions,0.836712
FCF Growth 5yr,-12.301244587363568
