,HEES
% Below High,0.1103
% Held by Institutions,0.7445999999999999
52-Wk Range,['26.12 - 47.13']
Annual Dividend $,1.1
Annual Dividend %,0.0262
Ask,47.0
Ask Size,1200.0
B/A Ratio,0.08333333333333333
B/A Size,100x1200
Beta,2.1
Bid,41.25
Bid Size,100.0
Closing Price,41.93
Day Change $,-0.325
Day Change %,-0.0077
Day High,42.26
Day Low,41.6
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",2.85
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.49700000000000005
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.7
Prev Close,42.26
Shares Outstanding,36.3M
Short Interest,0.0152
Today's Open,42.17
Volume,58069.0
Volume 10-day Avg,159902.0
Volume Past Day,(Light)
