,ENTA
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.744
Growth 1yr High Est,-1.1509769094138544
Growth 1yr Consensus Est,-0.20348845470692722
Growth 2yr Low Est,0.22016513761467887
Growth 2yr High Est,4.100982133528367
Growth 2yr Consensus Est,2.160573635571523
Growth 5yr Low Est,0.30020354968704444
Growth 5yr High Est,2.969341624372447
Growth 5yr Consensus Est,1.6347725870297456
Growth 5yr Actual/Est,0.23268897081934295
Growth 3yr Historic,0.4183497293945202
