,ENTA
% Above Low,0.1061
% Held by Institutions,0.9409000000000001
52-Wk Range,['37.59 - 92.90']
Annual Dividend $,
Annual Dividend %,
Ask,65.31
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.5
Bid,24.44
Bid Size,300.0
Closing Price,41.58
Day Change $,-3.42
Day Change %,-0.076
Day High,45.89
Day Low,40.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.91
Ex-dividend Date,No dividend
Historical Volatility,0.552
Last (size),4.0
Last (time),12:59p ET 11/25/22
Market Cap,858.4M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,45.0
Shares Outstanding,20.8M
Short Interest,0.0513
Today's Open,44.47
Volume,138732.0
Volume 10-day Avg,171587.0
Volume Past Day,(Below Average)
