,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 9/2020,Negative Surprise,-1.81,,,,,,,-1.3,-1.81,,
Year ending 9/2021,Neutral,-3.92,,1.165745856353591,-4.28,,-3.3,,-3.79,-3.92,1.165745856353591,
Year ending 9/2022,Neutral,-5.91,,0.5076530612244898,-6.25,0.46028037383177556,-5.63,0.706060606060606,-5.9399999999999995,-5.91,0.5076530612244898,0.5831704899461908
Year ending 9/2023,Neutral,,-5.41,0.0,-10.9,0.744,0.85,-1.1509769094138544,-5.41,-5.41,-0.08460236886632821,-0.20348845470692722
Year ending 9/2024,Neutral,,-1.85,0.0,-7.59,-0.30366972477064225,8.8,9.352941176470589,-1.85,-1.85,-0.6580406654343808,4.524635725849973
