,CHD
% Above Low,0.1244
% Held by Institutions,0.821
52-Wk Range,['70.16 - 105.28']
Annual Dividend $,1.05
Annual Dividend %,0.013300000000000001
Ask,87.1
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,0.4
Bid,67.5
Bid Size,100.0
Closing Price,78.89
Day Change $,0.32
Day Change %,0.0040999999999999995
Day High,78.94
Day Low,78.18
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",2.98
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.253
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,19.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",26.44
Prev Close,78.57
Shares Outstanding,243.9M
Short Interest,0.0163
Today's Open,78.94
Volume,495661.0
Volume 10-day Avg,1403157.0
Volume Past Day,(Light)
