,CHD
Price/Earnings (TTM),26.43634
Price/Sales (TTM),3.62428
Price/Book (MRQ),5.19741
Price/Cash Flow (TTM),20.21942
5yr Low,44.87
5yr High,105.28
5yr Avg Return,0.1162
EPS Growth 5yr,0.1361494
Revenue Growth 5yr,0.0824129
Dividend Growth 5yr,0.07303180000000001
Short Int Current Month,3965318.0
Short Int Prev Month,4048365.0
Short Int Pct of Float,0.0162917
Days to Cover,2.22452
Float,243.4265
Shares Outstanding,243.8683
Institutions Holding Shares,1211.0
% Held by Institutions,0.820994
FCF Growth 5yr,0.24784323563777866
