,CHD
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.013513513513513487
Growth 1yr High Est,-0.0066225165562914245
Growth 1yr Consensus Est,-0.010068015034902456
Growth 2yr Low Est,-0.010181414291003332
Growth 2yr High Est,0.03835540838852092
Growth 2yr Consensus Est,0.014086997048758793
Growth 5yr Low Est,0.0437478526686679
Growth 5yr High Est,0.06789130051321007
Growth 5yr Consensus Est,0.05581957659093899
Growth 5yr Actual/Est,0.06183377693464456
Growth 3yr Historic,0.05322169926038256
