,VRAY
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.14084507042253513
Growth 1yr High Est,-0.10769230769230775
Growth 1yr Consensus Est,-0.12426868905742144
Growth 2yr Low Est,-0.07861925652274299
Growth 2yr High Est,-0.12281167108753316
Growth 2yr Consensus Est,-0.10071546380513807
Growth 5yr Low Est,-0.07019061545960643
Growth 5yr High Est,-0.10568397120121253
Growth 5yr Consensus Est,-0.08793729333040949
Growth 5yr Actual/Est,-0.15844953893176325
Growth 3yr Historic,-0.11588692825632688
