,VRAY
% Below High,0.2304
% Held by Institutions,0.8382
52-Wk Range,['2.39 - 5.99']
Annual Dividend $,
Annual Dividend %,
Ask,4.62
Ask Size,6900.0
B/A Ratio,0.14492753623188406
B/A Size,1000x6900
Beta,1.0
Bid,4.54
Bid Size,1000.0
Closing Price,4.61
Day Change $,-0.07
Day Change %,-0.015
Day High,4.73
Day Low,4.6
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.6
Ex-dividend Date,No dividend
Historical Volatility,0.6829999999999999
Last (size),75.0
Last (time),3:59p ET 11/28/22
Market Cap,836.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.68
Shares Outstanding,181.4M
Short Interest,0.0426
Today's Open,4.6
Volume,376759.0
Volume 10-day Avg,722735.0
Volume Past Day,(Light)
