,BOOT
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.19166666666666676
Growth 1yr High Est,-0.06645569620253167
Growth 1yr Consensus Est,-0.12906118143459921
Growth 2yr Low Est,-0.1009879725085911
Growth 2yr High Est,0.052365372237717145
Growth 2yr Consensus Est,-0.024311300135436975
Growth 5yr Low Est,0.6488731023532993
Growth 5yr High Est,0.6395706642609351
Growth 5yr Consensus Est,0.6442218833071172
Growth 5yr Actual/Est,0.5790490575434447
Growth 3yr Historic,0.5882116364286354
