,BOOT
% Above Low,0.2677
% Held by Institutions,1.0609
52-Wk Range,['50.20 - 131.02']
Annual Dividend $,
Annual Dividend %,
Ask,74.96
Ask Size,600.0
B/A Ratio,0.16666666666666666
B/A Size,100x600
Beta,2.3
Bid,50.0
Bid Size,100.0
Closing Price,63.64
Day Change $,-0.71
Day Change %,-0.011000000000000001
Day High,66.09
Day Low,63.39
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.1
Ex-dividend Date,No dividend
Historical Volatility,0.6070000000000001
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,1.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.44
Prev Close,64.35
Shares Outstanding,29.8M
Short Interest,0.0834
Today's Open,65.14
Volume,251553.0
Volume 10-day Avg,628911.0
Volume Past Day,(Light)
