,ARNC
Price/Earnings (TTM),47.11163
Price/Sales (TTM),0.24892
Price/Book (MRQ),1.41223
Price/Cash Flow (TTM),7.5475
5yr Low,5.8
5yr High,38.49
5yr Avg Return,0.2494666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.0241196
Dividend Growth 5yr,
Short Int Current Month,2395302.0
Short Int Prev Month,2703148.0
Short Int Pct of Float,0.0238284
Days to Cover,2.51199
Float,100.5184
Shares Outstanding,101.4846
Institutions Holding Shares,355.0
% Held by Institutions,0.9430710000000001
FCF Growth 5yr,-0.6513903100749271
