,ARNC
% Above Low,0.3754
% Held by Institutions,0.9431
52-Wk Range,['16.33 - 35.74']
Annual Dividend $,
Annual Dividend %,
Ask,24.5
Ask Size,500.0
B/A Ratio,0.6
B/A Size,300x500
Beta,
Bid,22.22
Bid Size,300.0
Closing Price,22.46
Day Change $,-0.23
Day Change %,-0.0101
Day High,22.9
Day Low,22.36
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.48
Ex-dividend Date,No dividend
Historical Volatility,0.535
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,2.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",47.11
Prev Close,22.69
Shares Outstanding,101.5M
Short Interest,0.023799999999999998
Today's Open,22.65
Volume,295642.0
Volume 10-day Avg,805252.0
Volume Past Day,(Light)
