,GD
Price/Earnings (TTM),21.13318
Price/Sales (TTM),1.79346
Price/Book (MRQ),3.94721
Price/Cash Flow (TTM),16.45154
5yr Low,100.55
5yr High,254.99
5yr Avg Return,0.06085000000000001
EPS Growth 5yr,0.059972700000000004
Revenue Growth 5yr,0.047101199999999996
Dividend Growth 5yr,0.0947428
Short Int Current Month,2246588.0
Short Int Prev Month,2191610.0
Short Int Pct of Float,0.0082312
Days to Cover,1.94927
Float,273.2774
Shares Outstanding,274.549
Institutions Holding Shares,1710.0
% Held by Institutions,0.8087489999999999
FCF Growth 5yr,0.08099255078048857
