,GD
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.05240174672489095
Growth 1yr High Est,0.05431034482758634
Growth 1yr Consensus Est,0.05335604577623865
Growth 2yr Low Est,0.08346228415082713
Growth 2yr High Est,0.12118624355034258
Growth 2yr Consensus Est,0.10232426385058485
Growth 5yr Low Est,0.036323839250897605
Growth 5yr High Est,0.05292544794646345
Growth 5yr Consensus Est,0.04462464359868053
Growth 5yr Actual/Est,0.0434724489385743
Growth 3yr Historic,-0.007950751252086802
